area_sqft,house_age,bedrooms,avg_rooms,bathrooms,population,avg_occupancy,latitude,longitude,area_name,city,price,price_per_sqft,distance_to_city_center,property_type
2300,5-10,3,4,3,250495,3,13.09714,80.35638,Virugambakkam,Chennai,6200000,2696,9.42,Apartment
2398,10+,3,4,1,185237,5,13.03553,80.24684,Kolathur,Chennai,6240000,2602,5.85,Apartment
1464,10+,3,4,3,184093,2,13.17258,80.44216,Guindy,Chennai,3840000,2623,21.09,Apartment
2404,10+,4,7,3,193228,3,13.10866,80.40472,Porur,Chennai,7460000,3103,14.8,Villa
1210,5-10,2,4,2,141204,2,13.1536,80.252,OMR,Chennai,5860000,4843,8.14,Apartment
2376,0-1,0,0,0,179000,0,12.91973,80.3963,Nungambakkam,Chennai,2710000,1141,22.66,Plot
1248,10+,3,4,1,183761,2,13.18439,80.33237,Avadi,Chennai,5980000,4792,13.13,Independent House
2420,0-1,2,4,1,227105,2,13.06925,80.29351,ECR,Chennai,9160000,3785,2.89,Independent House
2293,1-5,2,4,2,76713,5,13.07383,80.3488,ECR,Chennai,8060000,3515,8.52,Independent House
1708,0-1,4,6,3,217813,2,12.96153,80.32507,Avadi,Chennai,6330000,3706,14.7,Apartment
1668,10+,2,3,1,198409,4,12.98416,80.28587,Madhavaram,Chennai,5100000,3058,11.08,Apartment
2116,1-5,1,3,1,261876,5,13.07354,80.36973,Pallavaram,Chennai,6950000,3284,10.77,Apartment
919,1-5,2,3,1,237264,5,13.03116,80.37918,Porur,Chennai,7190000,7824,13.07,Apartment
2227,10+,3,5,1,166555,5,13.08257,80.23662,Sholinganallur,Chennai,7350000,3300,3.69,Independent House
2058,5-10,5,8,4,237154,6,12.874,80.21829,Chromepet,Chennai,5770000,2804,23.89,Villa
2218,5-10,3,4,2,179205,3,13.15359,80.25973,Guindy,Chennai,6920000,3120,7.97,Apartment
1934,1-5,3,6,3,84737,2,13.11343,80.26808,Avadi,Chennai,9750000,5041,3.43,Independent House
1684,10+,2,4,1,213269,3,12.9946,80.30971,Chromepet,Chennai,4860000,2886,10.67,Apartment
714,0-1,2,4,2,114201,3,13.01746,80.22598,Madhavaram,Chennai,5890000,8249,8.72,Apartment
995,10+,0,0,0,225973,0,13.02672,80.28782,Guindy,Chennai,2500000,2513,6.5,Plot
2768,10+,2,5,2,211134,3,13.09695,80.27355,Pallavaram,Chennai,7230000,2612,1.61,Independent House
2173,0-1,3,4,2,184064,2,13.05404,80.34285,Kodambakkam,Chennai,6590000,3033,8.44,Apartment
1653,5-10,2,3,2,156212,3,13.05472,80.10184,Pallavaram,Chennai,6010000,3636,18.55,Apartment
1582,5-10,0,0,0,67727,0,12.96085,80.17983,Ambattur,Chennai,2600000,1643,16.75,Plot
3379,0-1,0,0,0,189394,0,13.0662,80.08846,Adyar,Chennai,3460000,1024,19.82,Plot
1547,1-5,3,5,1,247066,4,13.10169,80.29259,ECR,Chennai,7330000,4738,3.17,Apartment
2024,5-10,2,3,1,180699,3,13.03754,80.19054,Porur,Chennai,5410000,2673,10.03,Apartment
1111,5-10,2,4,2,147493,3,13.15325,80.13591,Velachery,Chennai,5590000,5032,16.57,Apartment
4923,0-1,5,8,3,184675,3,13.27389,80.22235,Porur,Chennai,9990000,2029,21.89,Villa
4092,10+,3,5,4,227040,4,13.12525,80.32641,Kolathur,Chennai,9340000,2283,7.67,Villa
1634,5-10,2,3,1,114632,4,13.06269,80.37478,Madhavaram,Chennai,4660000,2852,11.49,Apartment
2903,0-1,5,7,3,214170,5,13.15409,80.27835,Anna Nagar,Chennai,10720000,3693,7.98,Independent House
5507,0-1,3,6,3,236027,3,13.14895,80.35149,Tambaram,Chennai,12060000,2190,11.44,Villa
1677,1-5,3,4,2,272132,4,13.18566,80.23513,Guindy,Chennai,6800000,4055,12.08,Apartment
1487,1-5,3,4,2,169046,5,12.98848,80.21628,Porur,Chennai,6390000,4297,12.02,Apartment
1686,10+,4,5,2,146119,5,13.09145,80.32876,ECR,Chennai,5780000,3428,6.36,Independent House
2885,1-5,2,4,1,130576,5,13.08716,80.35824,Velachery,Chennai,8020000,2780,9.49,Independent House
517,1-5,3,5,1,169690,4,13.14855,80.27657,Avadi,Chennai,6840000,13230,7.35,Apartment
2420,1-5,2,3,1,165480,2,13.16581,80.21484,Tambaram,Chennai,5860000,2421,11.05,Apartment
1410,5-10,2,4,1,102579,5,13.28857,80.27544,Sholinganallur,Chennai,5340000,3787,22.9,Apartment
4239,5-10,4,7,2,161494,4,13.02567,80.27921,Chromepet,Chennai,10820000,2552,6.41,Villa
2172,5-10,2,3,1,166131,5,13.07071,80.31292,Mogappair,Chennai,7470000,3439,4.76,Apartment
2493,5-10,3,6,1,161063,4,13.02106,80.22078,Mogappair,Chennai,6750000,2708,8.73,Independent House
2938,1-5,0,0,0,144509,0,13.13958,80.30624,Virugambakkam,Chennai,3270000,1113,7.4,Plot
3686,10+,3,6,4,112958,3,13.10118,80.21342,Chromepet,Chennai,8790000,2385,6.54,Villa
3276,1-5,0,0,0,231284,0,13.05635,80.26295,Anna Nagar,Chennai,3840000,1172,3.05,Plot
4795,1-5,3,5,3,106649,6,13.16045,80.26822,T Nagar,Chennai,11760000,2453,8.65,Villa
1471,0-1,4,6,1,171970,5,12.97962,80.27877,Kolathur,Chennai,6200000,4215,11.5,Apartment
964,0-1,4,5,2,174661,5,13.04517,80.31285,Perambur,Chennai,9220000,9564,6.19,Apartment
1963,5-10,1,3,1,190085,3,13.07005,80.33523,OMR,Chennai,5760000,2934,7.13,Apartment
2753,5-10,0,0,0,173104,0,13.0647,80.36731,Poonamallee,Chennai,3290000,1195,10.65,Plot
2185,0-1,2,4,1,154073,4,13.09033,80.28502,Virugambakkam,Chennai,10470000,4792,1.77,Apartment
826,5-10,3,6,3,233229,4,13.09709,80.24391,Karapakkam,Chennai,6530000,7906,3.31,Independent House
2608,10+,4,5,1,155497,6,12.97715,80.2526,Pallavaram,Chennai,6260000,2400,11.9,Independent House
1949,5-10,4,5,2,169589,2,13.11707,80.28732,Nungambakkam,Chennai,6520000,3345,4.22,Apartment
1672,5-10,2,3,1,156537,3,13.13525,80.33403,Mogappair,Chennai,5830000,3487,9.01,Apartment
2071,1-5,2,3,2,235719,5,13.08907,80.35177,Anna Nagar,Chennai,5680000,2743,8.81,Apartment
1534,5-10,4,5,3,152066,2,13.16351,80.255,Chromepet,Chennai,7020000,4576,9.15,Apartment
1521,1-5,1,2,1,79487,4,13.29052,80.21867,Poonamallee,Chennai,4820000,3169,23.79,Apartment
1253,0-1,4,5,1,144978,2,13.00237,80.20928,Madhavaram,Chennai,7370000,5882,11.14,Apartment
1797,5-10,2,3,2,157543,6,13.14922,80.28731,Perambur,Chennai,5540000,3083,7.61,Builder Floor
1355,1-5,3,4,2,81135,6,13.12019,80.31136,T Nagar,Chennai,10640000,7852,6.06,Independent House
2213,1-5,2,4,1,58733,3,13.11019,80.24058,Pallavaram,Chennai,6690000,3023,4.47,Apartment
1668,5-10,3,5,3,134590,4,13.07718,80.25569,Karapakkam,Chennai,6130000,3675,1.74,Builder Floor
2338,5-10,0,0,0,245103,0,13.04129,80.2886,Chromepet,Chennai,3470000,1484,5.0,Plot
2468,5-10,0,0,0,159572,0,13.12627,80.43205,Virugambakkam,Chennai,2820000,1143,18.13,Plot
3155,5-10,3,6,2,170975,6,13.14834,80.31128,Chromepet,Chennai,7300000,2314,8.52,Independent House
622,5-10,3,5,3,215236,5,13.10107,80.2585,ECR,Chennai,4960000,7974,2.43,Apartment
1853,10+,2,5,2,161038,3,13.14296,80.16268,Sholinganallur,Chennai,6190000,3341,13.48,Independent House
1421,1-5,3,4,2,148326,3,13.09674,80.30338,Guindy,Chennai,8950000,6298,3.87,Apartment
1851,10+,2,3,2,88146,4,12.94629,80.38133,T Nagar,Chennai,4210000,2274,19.33,Apartment
922,10+,3,4,2,203265,3,12.96686,80.0948,Velachery,Chennai,4020000,4360,23.0,Apartment
1979,10+,2,4,2,199103,4,12.98452,80.40351,Porur,Chennai,4410000,2228,18.06,Apartment
1046,10+,2,3,1,267832,6,13.15874,80.24326,Virugambakkam,Chennai,4010000,3834,8.96,Independent House
453,10+,3,4,2,268458,2,13.00715,80.29656,Tambaram,Chennai,5960000,13157,8.86,Apartment
3455,0-1,3,5,1,173574,4,12.97404,80.24541,Avadi,Chennai,6850000,1983,12.39,Independent House
1935,5-10,3,4,2,146487,5,13.28048,80.23103,Madhavaram,Chennai,4950000,2558,22.41,Apartment
2351,5-10,3,6,2,165463,3,13.27486,80.26889,Nungambakkam,Chennai,7770000,3305,21.37,Villa
1001,1-5,4,6,3,194877,3,12.97187,80.18211,Avadi,Chennai,4720000,4715,15.62,Builder Floor
1584,5-10,3,5,2,186184,5,13.09955,80.34112,T Nagar,Chennai,7540000,4760,7.85,Independent House
1063,5-10,2,5,2,162701,5,13.24872,80.21556,Kolathur,Chennai,5580000,5249,19.4,Independent House
940,1-5,0,0,0,109194,0,13.21642,80.25438,Mogappair,Chennai,3350000,3564,14.97,Plot
978,5-10,1,2,1,238916,4,13.08574,80.2803,Virugambakkam,Chennai,6580000,6728,1.09,Apartment
1636,10+,1,2,1,270932,4,12.93355,80.19857,Virugambakkam,Chennai,4220000,2579,18.33,Apartment
2726,10+,2,4,1,201687,6,12.95206,80.22488,Velachery,Chennai,5030000,1845,15.35,Independent House
957,5-10,2,3,2,171536,2,13.2155,80.37275,Chromepet,Chennai,5520000,5768,18.44,Apartment
1796,5-10,2,4,2,239816,4,13.22764,80.34148,Virugambakkam,Chennai,4720000,2628,17.85,Apartment
1141,10+,2,4,2,166000,2,12.9702,80.22649,Virugambakkam,Chennai,5530000,4847,13.39,Apartment
1811,1-5,2,3,1,245583,4,13.12972,80.27991,Avadi,Chennai,7170000,3959,5.32,Apartment
2140,5-10,2,4,2,172930,2,13.17028,80.2578,Nungambakkam,Chennai,5870000,2743,9.84,Independent House
1760,5-10,3,5,2,172786,2,13.21996,80.33245,Poonamallee,Chennai,5960000,3386,16.66,Apartment
2725,0-1,2,4,2,158701,3,12.91298,80.29414,Guindy,Chennai,6440000,2363,19.04,Independent House
3016,1-5,0,0,0,178332,0,13.0328,80.42382,Mogappair,Chennai,3800000,1260,17.49,Plot
5764,0-1,5,7,2,207320,5,13.0974,80.28404,Pallavaram,Chennai,16950000,2941,2.18,Villa
1739,0-1,5,6,1,267140,6,13.10691,80.21036,Karapakkam,Chennai,7010000,4031,7.07,Builder Floor
1843,1-5,5,6,5,100669,4,13.18056,80.32624,Velachery,Chennai,5150000,2794,12.43,Builder Floor
1259,1-5,3,4,1,189163,4,12.98046,80.1392,Tambaram,Chennai,5620000,4464,18.23,Independent House
674,5-10,5,7,2,117535,5,13.18423,80.32652,Kodambakkam,Chennai,4840000,7181,12.81,Independent House
3371,1-5,3,5,2,166354,5,12.95225,80.28438,Anna Nagar,Chennai,7590000,2252,14.58,Independent House
2543,1-5,2,3,2,183120,5,12.98532,80.23214,ECR,Chennai,8080000,3177,11.61,Independent House
2493,1-5,4,7,2,197783,5,13.15617,80.14506,Sholinganallur,Chennai,10370000,4160,15.87,Villa
1578,10+,2,3,2,186762,3,13.15862,80.21773,Tambaram,Chennai,4940000,3131,10.21,Apartment
1479,1-5,0,0,0,104259,0,13.17919,80.30142,Mylapore,Chennai,3900000,2637,11.23,Plot
1826,10+,2,4,1,211680,5,13.06067,80.33081,OMR,Chennai,6030000,3302,6.96,Apartment
816,5-10,3,4,3,122576,2,13.26052,80.17167,OMR,Chennai,4060000,4975,22.49,Apartment
1674,5-10,2,4,2,146638,4,12.95974,80.29212,Tambaram,Chennai,6810000,4068,13.87,Apartment
848,1-5,5,7,5,120557,5,13.16611,80.22911,Tambaram,Chennai,6400000,7547,10.31,Independent House
1024,5-10,0,0,0,107350,0,13.00091,80.4371,Karapakkam,Chennai,2600000,2539,20.19,Plot
1194,1-5,3,5,3,179336,3,13.11971,80.44013,Sholinganallur,Chennai,5570000,4665,18.81,Apartment
916,1-5,4,7,1,265507,3,13.09041,80.21623,Avadi,Chennai,5960000,6507,5.96,Builder Floor
2026,10+,1,3,1,221747,5,12.89585,80.23076,Pallavaram,Chennai,3690000,1821,21.22,Apartment
2252,0-1,5,8,3,164296,4,13.02277,80.28873,Avadi,Chennai,11530000,5120,6.94,Villa
1521,5-10,3,6,2,225161,3,13.02636,80.25159,Mylapore,Chennai,5660000,3721,6.6,Builder Floor
1230,5-10,2,4,2,210695,2,13.21788,80.42214,ECR,Chennai,4900000,3984,22.24,Apartment
1764,1-5,2,4,2,167842,3,13.039,80.34919,Avadi,Chennai,6860000,3889,9.79,Apartment
2142,10+,3,4,3,136824,2,13.15569,80.14288,Kolathur,Chennai,4990000,2330,16.05,Apartment
927,1-5,3,5,2,114676,6,13.08723,80.31308,Poonamallee,Chennai,6780000,7314,4.62,Builder Floor
1996,10+,2,4,2,99222,4,13.00538,80.30408,Anna Nagar,Chennai,5960000,2986,9.33,Apartment
578,1-5,1,3,1,188670,5,13.03761,80.23783,Mogappair,Chennai,6750000,11678,6.15,Apartment
2268,5-10,3,4,2,106188,2,13.02408,80.21457,Pallavaram,Chennai,6060000,2672,8.91,Apartment
1437,1-5,4,6,3,150502,3,12.92718,80.48668,Tambaram,Chennai,4570000,3180,29.1,Apartment
1436,5-10,0,0,0,105050,0,12.96008,80.35334,Tambaram,Chennai,2380000,1657,16.31,Plot
1962,5-10,1,3,1,55654,5,13.17843,80.25802,ECR,Chennai,5630000,2870,10.73,Apartment
1626,0-1,2,3,2,93646,2,13.05813,80.35279,Avadi,Chennai,6050000,3721,9.3,Builder Floor
2908,10+,4,7,4,173315,6,13.07569,80.28292,OMR,Chennai,11400000,3920,1.54,Villa
2511,5-10,2,5,1,173357,4,13.1195,80.21648,Mylapore,Chennai,7220000,2875,7.16,Independent House
652,10+,3,4,3,244028,3,12.97493,80.19297,Pallavaram,Chennai,4990000,7653,14.65,Apartment
2038,1-5,1,3,1,204617,5,13.13127,80.37559,OMR,Chennai,8130000,3989,12.58,Apartment
727,0-1,3,5,3,192417,4,13.02022,80.24106,Madhavaram,Chennai,6830000,9395,7.65,Independent House
1836,5-10,4,6,2,162678,2,12.99912,80.11339,Karapakkam,Chennai,5000000,2723,19.41,Apartment
3741,10+,0,0,0,225228,0,13.15154,80.22405,Poonamallee,Chennai,2630000,703,9.17,Plot
539,1-5,3,5,1,174903,5,12.97922,80.28943,Poonamallee,Chennai,6050000,11224,11.68,Apartment
1060,1-5,3,5,1,277814,4,12.98701,80.26752,Guindy,Chennai,6870000,6481,10.65,Apartment
1939,1-5,2,3,2,249551,5,13.16286,80.2871,Tambaram,Chennai,6490000,3347,9.09,Apartment
4097,5-10,4,6,2,192470,6,13.17069,80.20205,ECR,Chennai,10450000,2551,12.29,Villa
1996,1-5,3,6,3,135871,4,13.01991,80.32256,Nungambakkam,Chennai,4630000,2320,8.96,Builder Floor
510,5-10,1,2,1,158725,2,13.0285,80.32444,Avadi,Chennai,5510000,10804,8.38,Apartment
2226,5-10,2,4,2,268070,5,13.09719,80.20384,Mylapore,Chennai,7820000,3513,7.42,Independent House
1979,5-10,1,3,1,184404,2,13.05819,80.27595,Madhavaram,Chennai,7870000,3977,2.78,Apartment
2022,0-1,2,4,1,131015,4,13.04816,80.19982,Mylapore,Chennai,8220000,4065,8.58,Apartment
4960,0-1,4,7,3,199233,5,13.23164,80.18456,Adyar,Chennai,10910000,2200,19.01,Villa
3131,1-5,5,8,2,160083,3,13.04048,80.33242,T Nagar,Chennai,8450000,2699,8.17,Independent House
3747,5-10,3,6,4,228609,5,13.13821,80.26247,Pallavaram,Chennai,12160000,3245,6.24,Villa
567,10+,2,4,1,127275,5,13.04555,80.24301,Kolathur,Chennai,4830000,8519,5.1,Apartment
988,1-5,3,4,1,236865,5,13.15361,80.21529,T Nagar,Chennai,7220000,7308,9.91,Builder Floor
2425,10+,1,3,1,217929,4,12.88876,80.34142,Poonamallee,Chennai,4250000,1753,22.89,Apartment
1154,5-10,5,8,5,111436,3,13.12169,80.31513,OMR,Chennai,5910000,5121,6.48,Independent House
1852,1-5,2,3,2,200219,4,12.95349,80.36388,Poonamallee,Chennai,5840000,3153,17.56,Apartment
3939,5-10,4,7,3,203574,4,13.16367,80.08797,Anna Nagar,Chennai,9240000,2346,21.74,Villa
3837,1-5,5,8,3,145117,5,13.07285,80.36024,Anna Nagar,Chennai,10630000,2770,9.76,Villa
5482,0-1,3,6,4,164242,6,13.20932,80.29267,Avadi,Chennai,9890000,1804,14.28,Villa
1752,5-10,2,5,2,173134,2,13.15335,80.26447,Pallavaram,Chennai,6100000,3482,7.88,Independent House
1767,10+,2,4,1,30981,4,13.09176,80.15564,ECR,Chennai,5680000,3214,12.5,Apartment
1686,10+,0,0,0,150488,0,13.03122,80.3531,Perambur,Chennai,2440000,1447,10.6,Plot
2097,10+,4,6,3,208149,2,13.14524,80.31611,Porur,Chennai,5500000,2623,8.52,Apartment
1319,1-5,0,0,0,181767,0,12.99771,80.30496,Mylapore,Chennai,3160000,2396,10.15,Plot
1711,1-5,3,5,2,108291,4,13.04078,80.17012,Adyar,Chennai,6550000,3828,11.85,Builder Floor
942,1-5,3,5,2,158845,2,13.18646,80.26887,Virugambakkam,Chennai,5560000,5902,11.54,Apartment
971,5-10,3,5,3,162851,4,13.11849,80.17359,Guindy,Chennai,5180000,5335,11.24,Apartment
2857,1-5,0,0,0,186824,0,13.05053,80.31264,Virugambakkam,Chennai,4640000,1624,5.78,Plot
5154,1-5,5,7,2,114547,3,13.03515,80.25531,Perambur,Chennai,14660000,2844,5.54,Villa
2452,1-5,2,3,2,169873,4,13.05235,80.17961,Adyar,Chennai,6060000,2471,10.43,Apartment
1884,10+,2,3,1,234173,3,13.10926,80.28594,Sholinganallur,Chennai,7380000,3917,3.38,Apartment
990,1-5,1,3,1,184635,5,13.25866,80.31326,Mogappair,Chennai,4920000,4970,20.1,Apartment
2197,1-5,3,5,3,231316,5,13.1467,80.1414,Avadi,Chennai,7380000,3359,15.71,Apartment
1519,1-5,2,4,2,129922,2,13.18179,80.27988,Karapakkam,Chennai,6660000,4384,11.06,Apartment
2630,10+,0,0,0,34025,0,13.10391,80.32205,Karapakkam,Chennai,3170000,1205,6.04,Plot
2394,1-5,1,3,1,257337,5,13.07663,80.34074,Nungambakkam,Chennai,6930000,2895,7.62,Apartment
1007,1-5,2,4,2,199073,3,13.08873,80.14254,Ambattur,Chennai,5990000,5948,13.9,Apartment
940,1-5,2,3,2,44902,5,13.03289,80.28627,Sholinganallur,Chennai,5630000,5989,5.79,Apartment
622,1-5,2,3,1,163302,2,12.97019,80.26405,Mylapore,Chennai,6050000,9727,12.53,Independent House
1715,0-1,2,3,2,162771,2,12.96664,80.24536,Poonamallee,Chennai,5990000,3493,13.19,Apartment
1744,0-1,3,5,3,82630,6,13.04783,80.27624,Tambaram,Chennai,6930000,3974,3.92,Independent House
605,1-5,4,6,4,153914,6,12.98814,80.33754,Sholinganallur,Chennai,6730000,11124,12.77,Independent House
2194,10+,4,7,1,168918,5,13.05254,80.31676,Mylapore,Chennai,6980000,3181,6.01,Independent House
2056,5-10,3,4,3,163732,3,13.12365,80.25724,Ambattur,Chennai,7000000,3405,4.78,Independent House
623,0-1,2,3,1,223105,2,13.08737,80.21112,Perambur,Chennai,6910000,11091,6.47,Apartment
4692,0-1,4,7,4,129032,6,13.06873,80.1519,Pallavaram,Chennai,10510000,2240,12.96,Villa
2179,10+,0,0,0,222848,0,13.12495,80.3098,Nungambakkam,Chennai,2260000,1037,6.32,Plot
2012,1-5,2,3,2,171658,5,13.1653,80.36084,Kolathur,Chennai,6680000,3320,13.4,Apartment
2187,0-1,2,3,1,245994,3,13.18752,80.38235,OMR,Chennai,6390000,2922,16.79,Apartment
994,0-1,3,6,3,173828,4,13.08059,80.29311,Virugambakkam,Chennai,8290000,8340,2.44,Independent House
2163,10+,2,4,2,104197,2,12.99485,80.24176,ECR,Chennai,4410000,2039,10.26,Apartment
1723,10+,0,0,0,174205,0,13.10187,80.34301,T Nagar,Chennai,2860000,1660,8.12,Plot
1477,1-5,2,5,1,137459,4,13.08124,80.30248,Mylapore,Chennai,7480000,5064,3.45,Independent House
735,10+,2,4,1,292000,4,13.24536,80.27753,Pallavaram,Chennai,3830000,5211,18.1,Apartment
4923,1-5,4,6,3,184578,3,13.13318,80.21837,ECR,Chennai,12540000,2547,7.98,Villa
846,10+,4,7,1,197647,5,12.96074,80.28997,Porur,Chennai,5080000,6005,13.72,Builder Floor
1276,10+,0,0,0,200363,0,13.02946,80.34055,Porur,Chennai,2590000,2030,9.61,Plot
1242,5-10,2,4,2,64673,4,13.07854,80.40202,Nungambakkam,Chennai,7430000,5982,14.23,Apartment
1982,1-5,3,6,3,124745,6,13.12561,80.29526,Madhavaram,Chennai,7250000,3658,5.46,Independent House
1230,0-1,4,6,2,146157,6,13.15354,80.33383,Perambur,Chennai,6760000,5496,10.43,Builder Floor
1801,1-5,5,6,3,145359,5,13.19845,80.28198,Virugambakkam,Chennai,6010000,3337,12.93,Builder Floor
3630,0-1,4,7,3,143540,4,13.09715,80.28232,Sholinganallur,Chennai,13690000,3771,2.04,Villa
823,5-10,2,5,1,258571,3,13.25146,80.33347,T Nagar,Chennai,5190000,6306,19.96,Independent House
5214,5-10,3,5,3,171634,5,12.98942,80.26498,Chromepet,Chennai,11920000,2286,10.39,Villa
1303,5-10,4,5,1,142107,2,13.06154,80.11039,Kolathur,Chennai,5430000,4167,17.52,Apartment
2670,5-10,2,4,2,205723,3,12.84114,80.28541,Mogappair,Chennai,5090000,1906,26.91,Independent House
2085,5-10,0,0,0,210035,0,13.00213,80.28412,Kolathur,Chennai,3380000,1621,9.08,Plot
1899,5-10,1,3,1,133643,3,13.01691,80.36038,Karapakkam,Chennai,6560000,3454,12.16,Apartment
1858,10+,3,6,2,167781,4,13.06914,80.28267,ECR,Chennai,7250000,3902,1.99,Independent House
459,5-10,4,6,1,208201,4,13.02276,80.29804,Nungambakkam,Chennai,5310000,11569,7.29,Apartment
2053,5-10,4,5,1,156342,5,13.03631,80.20428,Mylapore,Chennai,6280000,3059,8.85,Apartment
1155,5-10,0,0,0,248617,0,12.88868,80.26829,Porur,Chennai,2490000,2156,21.58,Plot
2904,1-5,0,0,0,236112,0,13.18151,80.24509,Karapakkam,Chennai,3400000,1171,11.33,Plot
1097,1-5,4,6,4,115771,4,13.13455,80.33117,Adyar,Chennai,7920000,7220,8.73,Apartment
1508,0-1,3,5,1,220004,3,13.28008,80.19131,Sholinganallur,Chennai,4960000,3289,23.57,Apartment
3836,5-10,0,0,0,215587,0,13.10604,80.25605,Kodambakkam,Chennai,3550000,925,3.04,Plot
1121,5-10,4,7,4,156133,5,13.08116,80.24967,Avadi,Chennai,5690000,5076,2.28,Builder Floor
2035,1-5,1,2,1,63275,2,13.13653,80.31805,Nungambakkam,Chennai,7230000,3553,7.88,Apartment
3675,0-1,0,0,0,216191,0,13.09588,80.27477,Nungambakkam,Chennai,4750000,1293,1.53,Plot
3800,5-10,0,0,0,146523,0,13.04495,80.2389,Sholinganallur,Chennai,4550000,1197,5.43,Plot
1732,1-5,3,6,2,215773,5,13.15063,80.41252,Mogappair,Chennai,4700000,2714,17.12,Builder Floor
5626,5-10,3,6,2,203672,6,13.10981,80.19117,Tambaram,Chennai,10010000,1779,9.13,Villa
1865,5-10,3,5,1,179739,3,13.13378,80.25176,Adyar,Chennai,7020000,3764,6.04,Apartment
1955,5-10,2,4,1,215351,6,12.99557,80.25823,Karapakkam,Chennai,5570000,2849,9.78,Builder Floor
2556,5-10,4,5,4,51714,4,12.97809,80.28603,Madhavaram,Chennai,7080000,2770,11.75,Independent House
2461,5-10,1,3,1,209630,3,12.95485,80.30767,Nungambakkam,Chennai,5250000,2133,14.77,Apartment
